Programa Educativo,Asignatura,Tema,Sitio,Enlace Directo,Alcance,Observaciones
Arquitectura,Arquitectura,Todos los temas,BIBLIOTECA MUNDIAL,Enlace,Esta competencia se aplicará en asignaturas de diseño,N/A
Arquitectura,Arquitectura,Todos los temas,BIBLIOTECA DIGITAL DE LA FACULTAD DE ARQUITECTURA DE LA UNAM,Enlace,Esta competencia se aplicará en asignaturas de diseño,N/A
Arquitectura,Arquitectura,Todos los temas,Arquitectura,Enlace,Programa la incidencía solar programando el día y la hora sobre maquetas arquitectónicas que determina la penetración del sol en los espacios habitables,"No hay una pagina en especifico que simule la trayectoria solar, se requieren tutoriales para el uso de heliodón"
Arquitectura,Arquitectura,"Cálculo estructural, Cálculo hidráulico, Cálculo de energía eléctrica, Cálculo de cargas térmicas, Cálculo de costos.
Taller de Materiales Sustentables, Estructuras II, Concretos , Aceros",cypecad,Enlace,"Contiene normas vigentes de diferentes partes del mundo de sismos y comportamiento del viento en las estructuras e inclusive tiene datos actualizados del los lugares donde se hace el estudio, calcula todo tipo estructuras como tambien estudia y calcula e","es software de paga, con tutorias especilizadas"
Arquitectura,Arquitectura,Topografía Tema 5,Instituto mexicano del transporte(Dentro del apartadoNormatividad para la infraestructura del transporte ),Enlace,Contiene Normas vigentes para la construcción de carreteras,Descarga Gratis
Arquitectura,Arquitectura,Diseño de cimbras,EDX,Enlace,Aprende sobre la construcción de obras civiles y de edificación con encofrados y cimbras.,Curso gratis y se cobra por Certificado
Arquitectura,Arquitectura,Temas 1 al 4,PORTAL DE LIBROS UNIVERSIDAD DE LA PLATA,Enlace,VARIOS,Esta competencia se aplicará en asignaturas de diseño
Arquitectura,Arquitectura,Todos los temas,aprende.org,Enlace,"La materia se trata de todo el procesos constructivo, dentro de la plataforma podrán encontrar cursos para retroalimentar todo acerca de la construcción","Plataforma donde pueden tomar cursos acerca de todos los elementos de construcción, desde albañilería hasta acabados donde el alumno puede hacer los cursos para realizar una mejor supervisión de calidad en obra"
Arquitectura,Arquitectura,Sistemas de Información Geográfica,Instituto Nacional de Estadística y Geografía (INEGI),Enlace,,"sistemas de indicadores, micro datos, mapas bases, para la construcción de bases datos para análisis de ordenamiento territorial, entre otros."
Arquitectura,Arquitectura,Sistemas de Información Geográfica,DENUE,Enlace,,"datos económicas para el, de proyectos específicos, entre otros."
Arquitectura,Arquitectura,Sistemas de Información Geográfica,INVENTARIO NACIONAL DE VIVIENDA,Enlace,,"base de datos relativo a la vivienda en México, para la complementación de futuras e híbridos bancos de datos para análisis especifico, entre otros."
Arquitectura,Arquitectura,Plotter de Corte,Arquitectura,Enlace,se requieren plataformas para el uso y simulacion del trabajo para llevar a cabo cortes atraves de softweb para el uso del plotter de corte,No se localizo una plataforma o pagina donde se impartan cursos sobre el manejo y uso del plotter de corte.
Arquitectura,Arquitectura,Simuladores Solares,fotovoltaico (Arquitectura),Enlace,Programa la incidencía solar programando el día y la hora sobre maquetas arquitectónicas que determina la penetración del sol en los espacios habitables,"No hay una pagina en especifico que simule la trayectoria solar, se requieren tutoriales para el uso de heliodón"
Arquitectura,Arquitectura,Topografía. Estaciones Totales,Arquitectura,Enlace,se requiere el equipo para simulación de uso de equipo topograficó para levantamientos planimetricos y altimetricos,No se localizo una plataforma para la simulacion de los equipos topograficos para levantamientos planimetricos y altimetricos
Arquitectura,Arquitectura,Instalaciones I,dialux,Enlace,Realiza la simulación de iluminación de 50 diferentes empresas,es software libre
Arquitectura,Arquitectura,Simulador de microclimas,ENVI-MET,Enlace,contiene base de datos de todos los climas como microclimas de mundo,es software de paga
Arquitectura,Arquitectura,"Simulación de radiación solar, simulación de vientos,simulación de acústica",autodesk ecotec,Enlace,"Realiza la simulación de radiación solar en materiales propuestos , como tambien la acustica y comportamiento del viento para calculo de ventanas, como de fachadas","Es software de paga y licencias gratis para los alumnos
Se aplica desde el 3 semestre de la carrera hasta el final"
Arquitectura,Arquitectura,Todos los temas,BIBLIOTECA DIGITAL DE LA FACULTAD DE ARQUITECTURA DE LA UNAM,Enlace,VARIOS,Esta competencia se aplicará en asignaturas de diseño
Arquitectura,Arquitectura,"Simulación de radiación solar, flujo del viento en los edificios",AUTODESK REVIT,Enlace,"Contiene información de la radiación solar sobre los materiales propuestos de los lugares de estudio,asi como la representación de los conceptos arquitectónicos en 2D ,como el modelaje de los conceptos en 3D","Es software de paga y licencias gratis para los alumnos
Se aplica desde el 3 semestre de la carrera hasta el final"
Arquitectura,Arquitectura,Todos los temas,BIBLIOTECA MUNDIAL,Enlace,Esta competencia se aplicará en asignaturas de diseño,N/A
Arquitectura,Arquitectura,Todos los temas,BIBLIOTECA DIGITAL DE LA FACULTAD DE ARQUITECTURA DE LA UNAM,Enlace,Esta competencia se aplicará en asignaturas de diseño,N/A
