rank,tend,logo,team,live,matches,wins
,1,,,B04LeverkusenLeverkusen,,0
,1,,,VFBStuttgartStuttgart,,0
,1,,,FCBBayernBayern,,0
,1,,,RBLLeipzigLeipzig,,0
,1,,,BVBDortmundDortmund,,0
,1,,,SGEFrankfurtFrankfurt,,0
,1,,,TSGHoffenheimHoffenheim,,0
,1,,,HDHHeidenheimHeidenheim,,0
,1,,,SVWBremenBremen,,0
,1,,,SCFFreiburgFreiburg,,0
,1,,,FCAAugsburgAugsburg,,0
,1,,,WOBWolfsburgWolfsburg,,0
,1,,,M05MainzMainz,,0
,1,,,BMGM'gladbachM'gladbach,,0
,1,,,FCUUnion BerlinUnion Berlin,,0
,1,,,BOCBochumBochum,,0
,1,,,STPSt. PauliSt. Pauli,,0
,1,,,KSVKielKiel,,0
