name,price
Aire Acondicionado Minisplit Frikko Inverter R32,"$8,600.00 – $18,685.00"
Aire Acondicionado Minisplit Frikko Inverter PRO 24,"$11,340.00 – $24,070.00"
Aire acondicionado Minisplit Frikko Inverter FIT 18,"$9,049.00 – $29,250.00"
Aire Acondicionado Minisplit Frikko Avant,"$7,065.00 – $15,715.00"
Aire Acondicionado Minisplit Frikko Inverter FIT 17,"$9,050.00 – $19,670.00"
Aire Acondicionado Minisplit Frikko Inverter PRO 21,"$11,340.00 – $24,070.00"
"Módulo Wi-Fi para Frikko Inverter FIT 17, FIT18 y PRO 24",$299.00
Aire Acondicionado Frikko Portátil Serie T,"$9,295.00 – $9,955.00"
Aire Acondicionado Performance Inverter Tipo Paquete,
Aire Acondicionado Comercial Ligero Tipo Cassette,"$39,150.00 – $61,975.00"
Aire Acondicionado Comercial Ligero Tipo Piso Techo,"$36,785.00 – $62,910.00"
Aire Acondicionado Comercial Ligero Tipo Ducto (Fan & Coil),"$39,915.00 – $61,440.00"
Enfriador Evaporativo Portátil Frikko F1500P-CM,"$4,510.00"
Enfriador Evaporativo Portátil Frikko ULTRA F18300P-CM,"$19,415.00"
Enfriador Evaporativo Portátil Frikko ULTRA F6300P-CM,"$10,820.00"
Enfriador Evaporativo Portátil Frikko ULTRA F3700P-CM,"$6,835.00"
Enfriador Evaporativo Portátil Frikko F670P-CR,"$2,255.00"
Enfriador Evaporativo Portátil Frikko F950P-CR,"$3,035.00"
Enfriador Evaporativo Portátil Frikko F1400P-CR,"$4,325.00"
Enfriador Evaporativo Portátil Frikko F1700P-CR,"$6,325.00"
Enfriador Evaporativo Personal Econocool E101 Qbi,$515.00
Enfriador Evaporativo Portátil con Calefacción Frikko F670P-HR,"$3,025.00"
Ventilador de Torre Airon TF-42R,"$1,905.00"
Enfriador Evaporativo Portátil Frikko F3600P-CM,"$6,495.00"
Enfriador Evaporativo Portátil Frikko F6000P-CM,"$10,280.00"
Enfriador Evaporativo Portátil Frikko F12000P-CM,"$14,495.00"
Enfriador Evaporativo Portátil Frikko Forte F18500P-CM,"$19,415.00"
Ventilador de Pedestal Airon SF-40,$590.00
Ventilador de Pedestal Airon SFP-3N1,"$1,110.00"
Ventilador de Pared Airon WF-40,$780.00
Ventilador de Piso Airon GFP-50,$890.00
Ventilador Aerodinámico Airon SFP-40R,$860.00
Ventilador de Pedestal Airon MF-40,"$2,450.00"
Ventilador de Piso 3 en 1 Airon SFM-45,"$1,205.00"
Ventilador Estándar de Piso Airon SFM-50,"$1,450.00"
Ventilador 2 en 1: Pedestal y Pared Airon SFM-75,"$5,255.00"
Ventilador Metálico de Piso Airon GFM-50,"$1,695.00"
Ventilador Industrial Tipo Tambor Airon DFM-75,"$8,180.00"
Enfriador Evaporativo de Ventana Frikko,"$5,985.00 – $13,400.00"
Enfriador Evaporativo de Descarga Inferior Frikko,
Enfriador Evaporativo Frikko Cell,"$9,615.00 – $17,760.00"
Enfriador Evaporativo para Ducto Frikko,"$9,330.00 – $18,505.00"
Enfriador de Aire para uso Residencial Maxxicool,"$14,510.00 – $24,825.00"
Enfriador Evaporativo Industrial Frikko,
Enfriador de Aire para uso Industrial Maxxicool,
Enfriador de Aire para uso Industrial Atlantis Maxxicool,
Bomba de agua AIRON,
Pared Filtro,
Cojines,
Paneles Celdek,
Bandas AIRON,
Distribuidores,
Flotadores,
Poleas Volantes,
Motores,
Chumaceras,
Turbinas,
Flechas,
Accesorios para motor,
Enfriadores Evaporativos Tipo Ducto | FA50D y FA70D,"$14,599.00 – $19,599.00"
Fibras,
Maxxipanel,
Poleas Motrices,
Accesorios,
Varios,
Funda portátil uso rudo,
Funda,
Refacciones para equipos portátiles de uso rudo,
